,Dataset,Setting,nb_chunks,TimeFlow_1,TimeFlow_2,TimeFlow_3,Ridge,EM,Naive
0,Electricity,pointwise_missing_1,50397,0.2643882036209106,0.4319670796394348,0.3635191619396209,0.1934431791305542,0.2998228967189789,0.2561304867267608
1,Electricity,pointwise_missing_2,50397,0.2985446155071258,0.4662144780158996,0.3929673731327057,0.2234280258417129,0.3268403708934784,0.2882283926010132
2,Electricity,blocks_missing_1,50397,0.2753421068191528,0.5173968076705933,0.3896784484386444,0.245777815580368,0.3334286510944366,0.2792837619781494
3,Electricity,blocks_missing_2,50397,0.2775799334049225,0.5184797644615173,0.3943724632263183,0.2485174685716629,0.3353281617164612,0.2823631167411804
4,Solar,pointwise_missing_1,5480,0.3502588868141174,0.0879146233201026,0.456390768289566,0.0967091992497444,0.2421278059482574,0.088023230433464
5,Solar,pointwise_missing_2,5480,0.3588811457157135,0.0963395237922668,0.4605794847011566,0.1083777621388435,0.2489171624183654,0.0966454818844795
6,Solar,blocks_missing_1,5480,0.4244143366813659,0.2405821084976196,0.5133986473083496,0.2450522482395172,0.3287857472896576,0.2419924587011337
7,Solar,blocks_missing_2,5480,0.4281504154205322,0.2385551333427429,0.5179155468940735,0.2459916174411773,0.3322864770889282,0.2398711293935775
8,SpanishW-T,pointwise_missing_1,1090,0.4359068274497986,0.4970376789569855,0.2810640335083008,0.2063149958848953,0.3401918411254883,0.2755583226680755
9,SpanishW-T,pointwise_missing_2,1090,0.4684664905071258,0.5358104705810547,0.3061307370662689,0.2421117722988128,0.3658827245235443,0.3018454015254974
10,SpanishW-T,blocks_missing_1,1090,0.5087584853172302,0.7091509699821472,0.3750889897346496,0.3844360113143921,0.4669365286827087,0.3829372823238373
11,SpanishW-T,blocks_missing_2,1090,0.5176329016685486,0.7106871604919434,0.3928261399269104,0.3940167725086212,0.4730492234230041,0.3973386287689209
12,mean score,,227868,0.38402702907721203,0.42084464989602566,0.40366098284721375,0.23618140568335846,0.34113313257694244,0.2608514744788408
13,improvement (%),,,37.45870819315,32.33646111074659,39.050428383849436,0.0,32.90084899677413,7.539992973607903
