,Dataset,Setting,nb_chunks,TimeFlow_1,TimeFlow_2,TimeFlow_3,Ridge,EM,Naive
0,Traffic,pointwise_missing_1,83517,0.3469911217689514,0.4849031269550323,0.3836463689804077,0.2453273385763168,0.3565147519111633,0.3437876403331756
1,Traffic,pointwise_missing_2,83517,0.3754972815513611,0.5184451341629028,0.4127673506736755,0.2934873402118683,0.3808799982070923,0.3768900036811828
2,Traffic,blocks_missing_1,83517,0.3539009094238281,0.6179006695747375,0.4114052057266235,0.310607761144638,0.4099824726581573,0.4026524722576141
3,Traffic,blocks_missing_2,83517,0.3558331727981567,0.6147565841674805,0.4162086844444275,0.3159626126289367,0.410195916891098,0.4061305224895477
4,ETTh1,pointwise_missing_1,672,0.4484698474407196,0.5579639077186584,0.4397107660770416,0.3357096314430237,0.42878457903862,0.4112440645694732
5,ETTh1,pointwise_missing_2,672,0.47419074177742,0.5891065001487732,0.4635636210441589,0.382508248090744,0.4502150118350982,0.4366924166679382
6,ETTh1,blocks_missing_1,672,0.5176251530647278,0.7096216082572937,0.5163170099258423,0.4842548370361328,0.5236046314239502,0.5014347434043884
7,ETTh1,blocks_missing_2,672,0.5160074234008789,0.696770429611206,0.517170250415802,0.4769924581050873,0.5160166621208191,0.4969188570976257
8,ETTh2,pointwise_missing_1,672,0.5191680192947388,0.5782727003097534,0.5029526352882385,0.4343457520008087,0.4858507812023163,0.479936420917511
9,ETTh2,pointwise_missing_2,672,0.5463066697120667,0.6097191572189331,0.5269065499305725,0.487452894449234,0.5084874629974365,0.5045686364173889
10,ETTh2,blocks_missing_1,672,0.5820019245147705,0.7361108064651489,0.5879019498825073,0.5831427574157715,0.5828816294670105,0.5735058188438416
11,ETTh2,blocks_missing_2,672,0.6059476137161255,0.7457842230796814,0.6113385558128357,0.6023045182228088,0.6020687222480774,0.5904828310012817
12,Weather,pointwise_missing_1,2398,0.4554900228977203,0.5311365127563477,0.3848288059234619,0.3140693604946136,0.3968461155891418,0.3721623420715332
13,Weather,pointwise_missing_2,2398,0.4892450869083404,0.565838098526001,0.4132631719112396,0.3590852320194244,0.4244842827320099,0.4013854265213012
14,Weather,blocks_missing_1,2398,0.5797862410545349,0.7011891007423401,0.5079745650291443,0.5039054155349731,0.5431323051452637,0.5049450397491455
15,Weather,blocks_missing_2,2398,0.5874472856521606,0.7183821797370911,0.5153934359550476,0.5108416080474854,0.5523030757904053,0.5112179517745972
16,SpanishE,pointwise_missing_1,1962,0.3888898193836212,0.4898955523967743,0.3731847405433655,0.2224146276712417,0.3531985580921173,0.3285446465015411
17,SpanishE,pointwise_missing_2,1962,0.4258930683135986,0.5267271399497986,0.4014183580875397,0.2706645131111145,0.3836621046066284,0.3631042838096618
18,SpanishE,blocks_missing_1,1962,0.5359940528869629,0.698760449886322,0.5246152281761169,0.4857842922210693,0.5317693948745728,0.5124996304512024
19,SpanishE,blocks_missing_2,1962,0.5443239212036133,0.7024291157722473,0.5312911868095398,0.4953687489032745,0.5369146466255188,0.5190487504005432
20,mean score,,356884,0.48245046883821485,0.6196856498718262,0.4720929220318794,0.40571149736642836,0.4688896551728249,0.4518576249480247
21,improvement (%),,,17.09881357046501,35.595105233559195,15.619395669323124,0.0,15.084086000249975,11.860727556903909
